LAT,LON,Num
46.053958,-1.088845,544
46.053988,-1.088976,545
46.054049,-1.089065,546
46.054152,-1.089072,547
46.054248,-1.08906,548
46.054333,-1.089037,549
46.05443,-1.089028,550
46.054503,-1.088977,551
46.054581,-1.088932,552
46.054678,-1.088926,553
46.054775,-1.08893,554
46.054857,-1.08895,555
46.054954,-1.088942,556
46.055039,-1.088926,557
46.055143,-1.088918,558
46.055202,-1.089,559
46.055259,-1.089097,560
46.055334,-1.08918,561
46.055425,-1.089243,562
46.055506,-1.08929,563
46.055591,-1.089313,564
46.055686,-1.08928,565
46.055773,-1.089258,566
46.055861,-1.089255,567
46.05596,-1.08924,568
46.056057,-1.089212,569
46.056147,-1.089177,570
46.056225,-1.089105,571
46.056307,-1.08906,572
46.056389,-1.089028,573
46.056492,-1.089,574
46.056575,-1.088985,575
46.056682,-1.089013,576
46.056765,-1.089005,577
46.056849,-1.089002,578
46.056944,-1.08903,579
46.057019,-1.089083,580
46.057096,-1.08915,581
46.057165,-1.089234,582
46.057235,-1.089294,583
46.057324,-1.089335,584
46.057421,-1.089334,585
46.057512,-1.089345,586
46.057598,-1.089334,587
46.057679,-1.089319,588
46.05777,-1.089308,589
46.057865,-1.089302,590
46.057947,-1.089304,591
46.058041,-1.089284,592
46.058129,-1.089273,593
46.058217,-1.089262,594
46.0583,-1.08926,595
46.058382,-1.089263,596
46.058472,-1.089298,597
46.058559,-1.089355,598
46.058636,-1.089402,599
46.058714,-1.089459,600
46.058793,-1.089535,601
46.058873,-1.089615,602
46.058959,-1.089691,603
46.059049,-1.089743,604
46.059151,-1.089792,605
46.059236,-1.089844,606
46.059311,-1.0899,607
46.059383,-1.089962,608
46.059469,-1.090018,609
46.059557,-1.090078,610
46.059639,-1.090127,611
46.059724,-1.090163,612
46.059806,-1.090201,613
46.059901,-1.090247,614
46.059993,-1.090304,615
46.060084,-1.090353,616
46.060171,-1.090399,617
46.06026,-1.090444,618
46.060341,-1.090512,619
46.060419,-1.090582,620
46.060501,-1.090649,621
46.060569,-1.090713,622
46.060634,-1.090783,623
46.060715,-1.090854,624
46.060796,-1.090918,625
46.060865,-1.090989,626
46.06094,-1.091075,627
46.061004,-1.091154,628
46.061069,-1.091235,629
46.06114,-1.091322,630
46.061198,-1.091413,631
46.061261,-1.091507,632
46.061336,-1.091599,633
46.061402,-1.09168,634
46.06147,-1.091792,635
46.061524,-1.091904,636
46.061579,-1.092002,637
46.06164,-1.092116,638
46.061694,-1.092213,639
46.061766,-1.092315,640
46.061843,-1.092412,641
46.061916,-1.092505,642
46.061986,-1.09262,643
46.062054,-1.092696,644
46.062139,-1.09276,645
46.062221,-1.092834,646
46.062292,-1.092934,647
46.062377,-1.092989,648
46.062467,-1.092995,649
46.062551,-1.092962,650
46.062648,-1.092932,651
46.062742,-1.092926,652
46.062841,-1.092922,653
46.062924,-1.092916,654
46.063025,-1.092901,655
